"dpt","dpt_url","circo","circo_url","tour","inscrits","abstentions","votants","blancs","nuls","exprimes","year"
"22","022","2","02","2","96776","49420","47356","3992","1550","41814","2017"
"22","022","3","03","2","86780","36794","49986","1872","862","47252","2017"
"22","022","4","04","2","78690","38822","39868","2581","1529","35758","2017"
"22","022","5","05","2","103752","53076","50676","4675","1977","44024","2017"
"23","023","1","01","2","92984","48274","44710","4878","2586","37246","2017"
"24","024","1","01","2","76013","39060","36953","2456","1566","32931","2017"
"24","024","2","02","2","82415","43474","38941","3711","1582","33648","2017"
"24","024","3","03","2","67406","29940","37466","2946","1821","32699","2017"
"24","024","4","04","2","87718","43479","44239","3236","1877","39126","2017"
"25","025","1","01","2","75240","43352","31888","2494","1082","28312","2017"
"25","025","2","02","2","78394","43335","35059","2448","979","31632","2017"
"25","025","3","03","2","65923","36906","29017","2477","1067","25473","2017"
"25","025","4","04","2","66862","38317","28545","1940","904","25701","2017"
"25","025","5","05","2","81964","42612","39352","1953","913","36486","2017"
"26","026","1","01","2","75255","44840","30415","2609","1004","26802","2017"
"26","026","2","02","2","93264","53872","39392","2946","1067","35379","2017"
"26","026","3","03","2","106713","56453","50260","5489","1747","43024","2017"
"26","026","4","04","2","94249","53817","40432","3403","1393","35636","2017"
"27","027","1","01","2","86406","49892","36514","2511","844","33159","2017"
"27","027","2","02","2","78471","43268","35203","2745","749","31709","2017"
"27","027","3","03","2","84388","45650","38738","2792","883","35063","2017"
"27","027","4","04","2","89940","51393","38547","3225","1024","34298","2017"
"27","027","5","05","2","88484","50673","37811","3131","1092","33588","2017"
"28","028","1","01","2","89131","50398","38733","3096","976","34661","2017"
"28","028","2","02","2","74320","44548","29772","1726","591","27455","2017"
"28","028","3","03","2","70743","38883","31860","2000","863","28997","2017"
"28","028","4","04","2","67208","35490","31718","1636","692","29390","2017"
"29","029","1","01","2","88866","46636","42230","2639","1164","38427","2017"
"29","029","2","02","2","77724","43464","34260","2851","125","31284","2017"
"29","029","3","03","2","89311","48586","40725","2777","722","37226","2017"
"29","029","4","04","2","82153","41089","41064","3505","1118","36441","2017"
"29","029","5","05","2","94491","51161","43330","3380","1063","38887","2017"
"29","029","6","06","2","89269","46204","43065","4327","1607","37131","2017"
"29","029","7","07","2","80365","42362","38003","3807","1452","32744","2017"
"29","029","8","08","2","87201","47281","39920","3024","1460","35436","2017"
"2a","02A","1","01","2","50873","30136","20737","1058","787","18892","2017"
"2a","02A","2","02","2","57877","26011","31866","1105","633","30128","2017"
"2b","02B","1","01","2","58772","29842","28930","1315","846","26769","2017"
