"dpt","dpt_url","circo","circo_url","tour","inscrits","abstentions","votants","blancs","nuls","exprimes","year"
"77","077","10","10","2","79365","49983","29382","1706","765","26911","2017"
"77","077","11","11","2","64893","40440","24453","1779","349","22325","2017"
"77","077","2","02","2","79727","44364","35363","2137","778","32448","2017"
"77","077","3","03","2","75457","45482","29975","2525","645","26805","2017"
"77","077","4","04","2","87942","50507","37435","2504","1001","33930","2017"
"77","077","5","05","2","84878","52648","32230","1822","619","29789","2017"
"77","077","6","06","2","78121","48843","29278","2410","798","26070","2017"
"77","077","7","07","2","85368","52372","32996","2523","739","29734","2017"
"77","077","8","08","2","88870","56337","32533","2694","841","28998","2017"
"77","077","9","09","2","85973","54579","31394","2320","770","28304","2017"
"78","078","1","01","2","83490","41919","41571","2054","584","38933","2017"
"78","078","10","10","2","88764","45324","43440","2627","861","39952","2017"
"78","078","11","11","2","68015","39662","28353","1850","665","25838","2017"
"78","078","12","12","2","69005","37485","31520","1887","524","29109","2017"
"78","078","2","02","2","85418","42309","43109","2295","742","40072","2017"
"78","078","3","03","2","83239","43289","39950","1762","530","37658","2017"
"78","078","4","04","2","78497","40666","37831","2016","528","35287","2017"
"78","078","5","05","2","73783","38621","35162","1326","466","33370","2017"
"78","078","6","06","2","75704","41911","33793","1547","517","31729","2017"
"78","078","7","07","2","80615","47519","33096","2295","650","30151","2017"
"78","078","8","08","2","73870","47014","26856","2557","1078","23221","2017"
"78","078","9","09","2","90984","54529","36455","2675","883","32897","2017"
"79","079","1","01","2","90237","49348","40889","2062","962","37865","2017"
"79","079","2","02","2","97376","50300","47076","2099","1121","43856","2017"
"79","079","3","03","2","84788","48161","36627","2655","1238","32734","2017"
"80","080","1","01","2","84286","46749","37537","1980","1023","34534","2017"
"80","080","2","02","2","75487","43239","32248","2327","920","29001","2017"
"80","080","3","03","2","83768","43931","39837","3751","1684","34402","2017"
"80","080","4","04","2","84023","44450","39573","3184","1089","35300","2017"
"80","080","5","05","1","81450","40374","41076","868","274","39934","2017"
"81","081","1","01","2","83763","43181","40582","3303","1970","35309","2017"
"81","081","2","02","2","106014","55037","50977","4558","2554","43865","2017"
"81","081","3","03","2","101429","51388","50041","4053","2073","43915","2017"
"82","082","1","01","2","89975","48208","41767","3503","1818","36446","2017"
"82","082","2","02","2","93323","48944","44379","3705","2046","38628","2017"
"83","083","1","01","2","74842","45867","28975","2063","730","26182","2017"
"83","083","2","02","2","90541","55427","35114","2396","706","32012","2017"
"83","083","3","03","2","100775","58092","42683","3273","1319","38091","2017"
"83","083","4","04","2","106143","63455","42688","2474","946","39268","2017"
"83","083","5","05","2","96236","55676","40560","2045","832","37683","2017"
"83","083","6","06","2","118392","70593","47799","2787","1100","43912","2017"
"83","083","7","07","2","103503","63240","40263","2701","757","36805","2017"
"83","083","8","08","2","104360","58442","45918","2871","1095","41952","2017"
"84","084","1","01","2","72991","43827","29164","2201","751","26212","2017"
"84","084","2","02","2","83311","47529","35782","3149","1236","31397","2017"
"84","084","3","03","2","75602","41850","33752","1875","658","31219","2017"
"84","084","4","04","2","88777","47951","40826","2313","723","37790","2017"
"84","084","5","05","2","81870","46396","35474","2862","1132","31480","2017"
"85","085","1","01","2","109665","61496","48169","2734","1296","44139","2017"
"85","085","2","02","2","103480","58437","45043","3461","1721","39861","2017"
"85","085","3","03","2","122015","67203","54812","3403","1644","49765","2017"
"85","085","4","04","2","97892","56034","41858","2415","839","38604","2017"
"85","085","5","05","2","81455","43953","37502","2602","1169","33731","2017"
"86","086","1","01","2","79559","44333","35226","2114","1016","32096","2017"
"86","086","2","02","2","77522","43855","33667","3683","1300","28684","2017"
"86","086","3","03","2","74026","39678","34348","2658","1402","30288","2017"
"86","086","4","04","2","75658","43536","32122","2509","1353","28260","2017"
"87","087","1","01","2","84743","44273","40470","2577","1985","35908","2017"
"87","087","2","02","2","97461","47463","49998","3254","2396","44348","2017"
"87","087","3","03","2","83058","42831","40227","3865","2325","34037","2017"
"88","088","1","01","2","77078","42800","34278","2392","1123","30763","2017"
"88","088","2","02","2","73261","41433","31828","2516","1337","27975","2017"
"88","088","3","03","2","65649","35296","30353","2130","969","27254","2017"
"88","088","4","04","2","66558","34698","31860","2654","1461","27745","2017"
"89","089","1","01","2","76916","39262","37654","2227","742","34685","2017"
"89","089","2","02","2","75693","41990","33703","3073","1214","29416","2017"
"89","089","3","03","2","89140","49532","39608","2731","799","36078","2017"
"90","090","1","01","2","47838","26669","21169","1840","788","18541","2017"
"90","090","2","02","2","47495","26524","20971","1810","931","18230","2017"
"91","091","1","01","2","71200","45176","26024","1920","729","23375","2017"
"91","091","10","10","2","60911","38087","22824","1393","580","20851","2017"
"91","091","2","02","2","90740","51367","39373","2189","881","36303","2017"
"91","091","3","03","2","95817","53865","41952","2917","1262","37773","2017"
"91","091","4","04","2","96489","54300","42189","3482","1087","37620","2017"
"91","091","5","05","2","68395","34386","34009","2412","692","30905","2017"
"91","091","6","06","2","81934","48052","33882","3196","1125","29561","2017"
"91","091","7","07","2","73663","44788","28875","2206","782","25887","2017"
"91","091","8","08","2","76458","40626","35832","1878","630","33324","2017"
"91","091","9","09","2","79287","48744","30543","2710","1066","26767","2017"
"92","092","1","01","2","62486","40913","21573","1443","278","19852","2017"
"92","092","10","10","2","78974","40926","38048","3600","288","34160","2017"
"92","092","11","11","2","69273","36273","33000","1349","530","31121","2017"
"92","092","12","12","2","92856","48046","44810","2943","941","40926","2017"
"92","092","13","13","2","89108","44289","44819","3765","280","40774","2017"
"92","092","2","02","2","68008","35721","32287","2227","406","29654","2017"
"92","092","3","03","2","81072","42430","38642","2774","134","35734","2017"
"92","092","4","04","2","76175","46390","29785","3087","511","26187","2017"
"92","092","5","05","2","70370","38964","31406","2193","840","28373","2017"
"92","092","6","06","2","74305","37066","37239","2278","559","34402","2017"
"92","092","7","07","2","86690","43753","42937","1858","443","40636","2017"
"92","092","8","08","2","68751","34868","33883","2230","312","31341","2017"
"92","092","9","09","2","64985","36143","28842","2663","0","26179","2017"
"93","093","1","01","2","61804","41892","19912","865","505","18542","2017"
"93","093","10","10","2","68698","46393","22305","1879","643","19783","2017"
"93","093","11","11","2","62665","42972","19693","857","418","18418","2017"
"93","093","12","12","2","64794","43339","21455","1654","563","19238","2017"
"93","093","2","02","2","54143","38158","15985","929","372","14684","2017"
"93","093","3","03","2","72572","44714","27858","1673","616","25569","2017"
"93","093","4","04","2","60977","42913","18064","1066","349","16649","2017"
"93","093","5","05","2","63848","42323","21525","1615","627","19283","2017"
"93","093","6","06","2","52593","34666","17927","861","348","16718","2017"
"93","093","7","07","2","76062","45881","30181","1676","447","28058","2017"
"93","093","8","08","2","60133","36856","23277","2255","413","20609","2017"
"93","093","9","09","2","70180","44233","25947","1414","553","23980","2017"
"94","094","1","01","2","84680","48564","36116","2581","916","32619","2017"
"94","094","10","10","2","64439","38463","25976","1333","617","24026","2017"
"94","094","11","11","2","62446","37036","25410","1585","490","23335","2017"
"94","094","2","02","2","63379","40261","23118","1255","592","21271","2017"
"94","094","3","03","2","72165","45149","27016","2202","702","24112","2017"
"94","094","4","04","2","72739","42627","30112","2058","742","27312","2017"
"94","094","5","05","2","89457","52423","37034","2440","634","33960","2017"
"94","094","6","06","2","81289","45413","35876","3087","836","31953","2017"
"94","094","7","07","2","65556","39574","25982","2091","855","23036","2017"
"94","094","8","08","2","76749","38676","38073","1793","573","35707","2017"
"94","094","9","09","2","53666","33376","20290","1026","488","18776","2017"
"95","095","1","01","2","81549","49250","32299","3066","837","28396","2017"
"95","095","10","10","2","66540","42177","24363","1438","429","22496","2017"
"95","095","2","02","2","76522","45048","31474","2280","663","28531","2017"
"95","095","3","03","2","91577","56259","35318","2747","914","31657","2017"
"95","095","4","04","2","76061","46109","29952","2170","694","27088","2017"
"95","095","5","05","2","68484","45100","23384","1737","677","20970","2017"
"95","095","6","06","2","76438","46832","29606","1581","1452","26573","2017"
"95","095","7","07","2","69585","43432","26153","1827","567","23759","2017"
"95","095","8","08","2","54554","37681","16873","859","434","15580","2017"
"95","095","9","09","2","69985","48574","21411","1768","694","18949","2017"
"971","971","1","01","2","76233","49758","26475","1024","1725","23726","2017"
"971","971","2","02","2","86978","62508","24470","945","1148","22377","2017"
"971","971","3","03","2","83684","61663","22021","1273","1339","19409","2017"
"971","971","4","04","2","69233","45300","23933","851","1329","21753","2017"
"972","972","1","01","2","79425","55485","23940","1059","1044","21837","2017"
"972","972","2","02","2","81667","53867","27800","1388","1117","25295","2017"
"972","972","3","03","2","65399","43693","21706","729","537","20440","2017"
"972","972","4","04","2","83734","60005","23729","989","992","21748","2017"
"973","973","1","01","2","53662","37948","15714","632","380","14702","2017"
"973","973","2","02","2","39422","25586","13836","323","229","13284","2017"
"974","974","1","01","2","80506","48707","31799","1517","1508","28774","2017"
"974","974","2","02","2","92710","56274","36436","1404","1658","33374","2017"
"974","974","3","03","2","92752","51977","40775","2674","3282","34819","2017"
"974","974","4","04","2","104970","55627","49343","2631","3434","43278","2017"
"974","974","5","05","2","83173","53807","29366","1167","1616","26583","2017"
"974","974","6","06","2","75862","48700","27162","1698","1868","23596","2017"
"974","974","7","07","2","110366","66914","43452","3228","3529","36695","2017"
"975","975","1","01","2","4974","1226","3748","62","50","3636","2017"
"976","976","1","01","2","37956","20680","17276","563","783","15930","2017"
"976","976","2","02","2","44845","22623","22222","723","1532","19967","2017"
"977","977","1","01","2","25414","18778","6636","185","125","6326","2017"
"986","986","1","01","1","8480","1588","6892","31","22","6839","2017"
"987","987","1","01","2","72585","39125","33460","666","719","32075","2017"
"987","987","2","02","2","66706","36685","30021","548","987","28486","2017"
"987","987","3","03","2","64425","31727","32698","616","459","31623","2017"
"988","988","1","01","2","85146","52783","32363","1703","660","30000","2017"
"988","988","2","02","2","104634","49752","54882","1950","962","51970","2017"
"47","047","2","02","2","77451","34422","43029","715","434","41880","2022"
"92","092","3","03","2","82694","36887","45807","772","78","44957","2022"
"58","058","2","02","2","79762","35828","43934","878","480","42576","2022"
"46","046","2","02","2","66674","27160","39514","1312","874","37328","2022"
"92","092","2","02","2","69751","29536","40215","690","163","39362","2022"
"24","024","3","03","2","67369","26643","40726","970","646","39110","2022"
"81","081","2","02","2","109876","47526","62350","1291","711","60348","2022"
"92","092","6","06","2","76272","36158","40114","2092","702","37320","2022"
"25","025","5","05","2","84722","49620","35102","2594","1035","31473","2022"
"92","092","7","07","2","87926","42381","45545","2375","554","42616","2022"
"78","078","3","03","2","83457","40717","42740","2251","815","39674","2022"
"15","015","2","02","2","52857","28160","24697","2040","798","21859","2022"
"43","043","1","01","2","101598","52842","48756","1737","768","46251","2022"
"34","034","6","06","2","93917","53248","40669","2286","787","37596","2022"
"06","006","8","08","2","84308","51053","33255","1736","415","31104","2022"
"15","015","1","01","2","63106","33541","29565","2263","985","26317","2022"
"50","050","1","01","2","87541","46074","41467","1427","543","39497","2022"
"75","075","12","12","2","75816","33804","42012","2079","657","39276","2022"
"43","043","2","02","2","79477","39753","39724","1488","753","37483","2022"
"69","069","5","05","2","90165","44045","46120","2035","712","43373","2022"
"74","074","4","04","2","88829","52949","35880","954","302","34624","2022"
"71","071","2","02","2","77218","40831","36387","1461","684","34242","2022"
"976","976","1","01","2","42866","23400","19466","510","661","18295","2022"
"64","064","3","03","2","84067","40610","43457","2565","1201","39691","2022"
"988","988","1","01","2","96932","57205","39727","771","325","38631","2022"
"17","017","1","01","2","110471","55925","54546","1602","647","52297","2022"
"67","067","4","04","2","97920","53953","43967","2456","855","40656","2022"
"92","092","8","08","2","68055","30032","38023","2061","327","35635","2022"
"78","078","4","04","2","80177","38220","41957","1845","702","39410","2022"
"75","075","1","01","2","84577","38783","45794","1539","553","43702","2022"
"73","073","3","03","2","74458","37332","37126","1343","464","35319","2022"
"62","062","10","10","2","88838","51366","37472","1789","995","34688","2022"
"69","069","10","10","2","99415","50121","49294","2414","806","46074","2022"
"099","099","6","06","2","150077","111941","38136","1973","84","36079","2022"
"22","022","3","03","2","88979","40656","48323","1344","713","46266","2022"
"46","046","1","01","2","72859","31011","41848","1448","769","39631","2022"
"68","068","5","05","2","77082","46415","30667","1867","263","28537","2022"
"78","078","5","05","2","75656","37200","38456","1710","631","36115","2022"
"78","078","6","06","2","75950","39129","36821","1698","648","34475","2022"
"50","050","2","02","2","96983","49401","47582","2573","1128","43881","2022"
"78","078","2","02","2","86404","38882","47522","2301","782","44439","2022"
"69","069","11","11","2","96597","52632","43965","2691","921","40353","2022"
"73","073","2","02","2","76338","42724","33614","1168","493","31953","2022"
"12","012","1","01","2","78139","38450","39689","2323","1115","36251","2022"
"099","099","10","10","2","104452","82695","21757","1136","99","20522","2022"
"75","075","2","02","2","74773","32353","42420","1641","597","40182","2022"
"45","045","4","04","2","74835","40370","34465","3214","1127","30124","2022"
"74","074","3","03","2","88240","48368","39872","1579","599","37694","2022"
"78","078","1","01","2","83352","39461","43891","2450","836","40605","2022"
"78","078","10","10","2","91550","43332","48218","2670","1024","44524","2022"
"94","094","8","08","2","78529","36613","41916","1027","364","40525","2022"
"01","001","1","01","2","86194","45446","40748","1587","552","38609","2022"
"59","059","6","06","2","93715","46356","47359","2679","1256","43424","2022"
"69","069","12","12","2","82191","41053","41138","1884","720","38534","2022"
"974","974","5","05","2","87703","57253","30450","923","1269","28258","2022"
"69","069","13","13","2","88594","50225","38369","2155","779","35435","2022"
"74","074","1","01","2","109094","58529","50565","2774","1002","46789","2022"
"02","002","5","05","2","83139","45021","38118","4076","1050","32992","2022"
"01","001","4","04","2","94903","51702","43201","5450","1454","36297","2022"
"39","039","2","02","2","55805","29526","26279","1034","479","24766","2022"
"099","099","11","11","2","98847","70238","28609","1718","101","26790","2022"
"42","042","5","05","2","102311","57266","45045","3842","1383","39820","2022"
"35","035","6","06","2","90292","44720","45572","1822","906","42844","2022"
"13","013","2","02","2","83607","45287","38320","1900","718","35702","2022"
"42","042","4","04","2","103989","56089","47900","2007","694","45199","2022"
"69","069","9","09","2","96668","56143","40525","3264","866","36395","2022"
"66","066","2","02","2","103633","56009","47624","2748","1297","43579","2022"
"14","014","4","04","2","104666","53624","51042","2564","1131","47347","2022"
"62","062","11","11","2","94174","54971","39203","1758","903","36542","2022"
"03","003","3","03","2","80194","44317","35877","2902","1332","31643","2022"
"80","080","5","05","2","81347","42037","39310","3880","1116","34314","2022"
"49","049","5","05","2","79446","45011","34435","1701","814","31920","2022"
"49","049","3","03","2","72583","38912","33671","1702","607","31362","2022"
"49","049","4","04","2","76249","40289","35960","2087","867","33006","2022"
"64","064","6","06","2","105506","54222","51284","3364","1429","46491","2022"
"099","099","7","07","2","123403","83482","39921","1317","85","38519","2022"
"74","074","5","05","2","101817","58655","43162","2425","1006","39731","2022"
"78","078","12","12","2","71168","35436","35732","1694","555","33483","2022"
"74","074","2","02","2","100231","53811","46420","2465","856","43099","2022"
"75","075","13","13","2","78188","35842","42346","1720","563","40063","2022"
"92","092","10","10","2","79543","36933","42610","2251","182","40177","2022"
"92","092","5","05","2","75584","37597","37987","1330","519","36138","2022"
"85","085","4","04","2","102698","59813","42885","2898","890","39097","2022"
"76","076","2","02","2","95314","45788","49526","3451","1045","45030","2022"
"13","013","10","10","2","109100","57531","51569","4399","1109","46061","2022"
"69","069","4","04","2","78300","34441","43859","1489","578","41792","2022"
"73","073","1","01","2","93525","49199","44326","2656","1129","40541","2022"
"56","056","1","01","2","114857","52995","61862","2780","1052","58030","2022"
"976","976","2","02","2","49867","23508","26359","890","1413","24056","2022"
"34","034","7","07","2","108885","57027","51858","4038","1569","46251","2022"
"33","033","1","01","2","104129","53594","50535","1940","734","47861","2022"
"92","092","13","13","2","90066","39978","50088","2705","247","47136","2022"
"59","059","9","09","2","92360","49343","43017","1733","692","40592","2022"
"94","094","1","01","2","85157","42112","43045","1798","717","40530","2022"
"07","007","2","02","2","96579","48634","47945","3099","1207","43639","2022"
"06","006","7","07","2","97545","56322","41223","2461","528","38234","2022"
"84","084","3","03","2","78864","42791","36073","2011","735","33327","2022"
"01","001","3","03","2","82207","48291","33916","1870","716","31330","2022"
"33","033","11","11","2","98743","51770","46973","3102","1126","42745","2022"
"35","035","5","05","2","109735","55524","54211","2415","1183","50613","2022"
"13","013","9","09","2","100963","55584","45379","3810","1056","40513","2022"
"53","053","2","02","2","79090","42589","36501","1865","841","33795","2022"
"56","056","2","02","2","112403","53021","59382","3218","1508","54656","2022"
"39","039","3","03","2","70385","34905","35480","1512","788","33180","2022"
"85","085","2","02","2","112172","58204","53968","3201","1604","49163","2022"
"19","019","2","02","2","93152","44631","48521","2536","1671","44314","2022"
"01","001","2","02","2","99979","53307","46672","3033","855","42784","2022"
"79","079","3","03","2","84888","46111","38777","2186","1111","35480","2022"
"28","028","1","01","2","91232","48865","42367","2552","1034","38781","2022"
"21","021","1","01","2","70369","34169","36200","2026","616","33558","2022"
"26","026","4","04","2","99201","50327","48874","1517","596","46761","2022"
"29","029","3","03","2","93155","47040","46115","2138","510","43467","2022"
"76","076","7","07","2","86816","46951","39865","2284","294","37287","2022"
"01","001","5","05","2","77466","43704","33762","2354","839","30569","2022"
"49","049","6","06","2","98400","52352","46048","2106","1208","42734","2022"
"06","006","5","05","2","91178","53865","37313","2111","765","34437","2022"
"92","092","12","12","2","93387","43052","50335","2002","726","47607","2022"
"59","059","10","10","2","82250","51965","30285","1476","659","28150","2022"
"06","006","3","03","2","91815","55165","36650","2397","1099","33154","2022"
"77","077","2","02","2","79935","41819","38116","2349","874","34893","2022"
"099","099","2","02","2","75621","63301","12320","530","57","11733","2022"
"42","042","3","03","2","83524","47776","35748","2420","515","32813","2022"
"45","045","6","06","2","75188","39183","36005","2202","865","32938","2022"
"91","091","8","08","2","75988","39868","36120","1881","520","33719","2022"
"099","099","5","05","2","105032","77767","27265","1287","69","25909","2022"
"71","071","1","01","2","74571","39756","34815","1970","794","32051","2022"
"45","045","1","01","2","77594","39754","37840","1868","729","35243","2022"
"37","037","3","03","2","99402","50106","49296","2900","1277","45119","2022"
"02","002","4","04","2","78778","45449","33329","1886","669","30774","2022"
"59","059","19","19","2","80364","47341","33023","1796","691","30536","2022"
"18","018","1","01","2","71165","37784","33381","2606","819","29956","2022"
"26","026","2","02","2","95930","52090","43840","4577","1508","37755","2022"
"07","007","3","03","2","80836","34702","46134","1755","786","43593","2022"
"44","044","7","07","2","117322","58119","59203","3566","1182","54455","2022"
"47","047","3","03","2","75987","36885","39102","4388","1806","32908","2022"
"57","057","6","06","2","66904","43824","23080","1128","237","21715","2022"
"84","084","4","04","2","90422","48770","41652","2560","685","38407","2022"
"13","013","14","14","2","99313","52796","46517","2707","1161","42649","2022"
"49","049","2","02","2","94035","47123","46912","2000","857","44055","2022"
"60","060","7","07","2","76867","42406","34461","1413","548","32500","2022"
"85","085","1","01","2","118663","65205","53458","2774","1531","49153","2022"
"09","009","2","02","2","62032","30329","31703","1912","1183","28608","2022"
"77","077","3","03","2","77071","42520","34551","1541","516","32494","2022"
"30","030","2","02","2","95045","51506","43539","2787","870","39882","2022"
"56","056","3","03","2","96635","49456","47179","2828","1480","42871","2022"
"83","083","6","06","2","127524","70584","56940","2689","846","53405","2022"
"05","005","2","02","2","54275","25674","28601","1364","629","26608","2022"
"973","973","1","01","2","57003","39947","17056","688","379","15989","2022"
"44","044","10","10","2","123775","61700","62075","2665","1284","58126","2022"
"41","041","1","01","2","82792","43086","39706","2588","1263","35855","2022"
"94","094","5","05","2","90294","47442","42852","1627","476","40749","2022"
"57","057","2","02","2","76241","43457","32784","2349","719","29716","2022"
"06","006","1","01","2","82309","48326","33983","1827","668","31488","2022"
"62","062","12","12","2","96500","56198","40302","2311","946","37045","2022"
"66","066","4","04","2","101920","53819","48101","3453","1411","43237","2022"
"39","039","1","01","2","65032","32166","32866","1964","961","29941","2022"
"06","006","4","04","2","85291","48154","37137","1737","728","34672","2022"
"50","050","3","03","2","110859","56646","54213","3337","1296","49580","2022"
"59","059","4","04","2","101687","53424","48263","1966","898","45399","2022"
"36","036","1","01","2","77781","41666","36115","2413","1286","32416","2022"
"83","083","5","05","2","101751","56080","45671","1542","645","43484","2022"
"94","094","4","04","2","74068","39571","34497","1648","607","32242","2022"
"51","051","1","01","2","74471","43568","30903","1719","750","28434","2022"
"89","089","3","03","2","89743","48233","41510","2361","771","38378","2022"
"22","022","2","02","2","103429","46512","56917","2828","1414","52675","2022"
"60","060","2","02","2","89123","47644","41479","2320","734","38425","2022"
"40","040","1","01","2","108526","54215","54311","4130","1586","48595","2022"
"099","099","3","03","2","148662","103099","45563","1170","43","44350","2022"
"45","045","2","02","2","87297","46868","40429","2496","1118","36815","2022"
"62","062","1","01","2","104991","52174","52817","2545","1181","49091","2022"
"42","042","6","06","2","111184","61434","49750","3696","1113","44941","2022"
"31","031","3","03","2","80733","35314","45419","1920","814","42685","2022"
"14","014","5","05","2","92542","45218","47324","2685","1116","43523","2022"
"91","091","4","04","2","98723","50463","48260","2531","876","44853","2022"
"78","078","7","07","2","80601","42447","38154","1849","649","35656","2022"
"099","099","1","01","2","240992","184549","56443","1961","69","54413","2022"
"49","049","7","07","2","82877","42941","39936","1708","671","37557","2022"
"38","038","1","01","2","85737","37876","47861","1461","461","45939","2022"
"49","049","1","01","2","88017","44445","43572","1946","695","40931","2022"
"59","059","7","07","2","73619","41554","32065","1521","620","29924","2022"
"75","075","11","11","2","73058","29154","43904","1251","440","42213","2022"
"57","057","7","07","2","89499","54120","35379","1683","443","33253","2022"
"099","099","4","04","2","148171","99902","48269","1615","67","46587","2022"
"57","057","9","09","2","101706","62137","39569","2416","719","36434","2022"
"82","082","2","02","2","96326","48208","48118","3518","1538","43062","2022"
"13","013","3","03","2","75992","47757","28235","1749","468","26018","2022"
"13","013","16","16","2","91764","49943","41821","2808","1116","37897","2022"
"83","083","8","08","2","109176","59230","49946","2417","965","46564","2022"
"72","072","1","01","2","73504","38662","34842","2656","673","31513","2022"
"51","051","2","02","2","74662","42068","32594","4710","1150","26734","2022"
"56","056","6","06","2","93735","46067","47668","2610","1408","43650","2022"
"37","037","2","02","2","92250","46962","45288","2717","1150","41421","2022"
"64","064","2","02","2","83109","39590","43519","2599","1220","39700","2022"
"80","080","4","04","2","85112","42561","42551","2986","845","38720","2022"
"29","029","5","05","2","97865","48360","49505","1856","777","46872","2022"
"02","002","1","01","2","72483","38746","33737","1869","602","31266","2022"
"67","067","3","03","2","70930","39438","31492","1106","387","29999","2022"
"70","070","1","01","2","88324","42658","45666","2825","1564","41277","2022"
"30","030","4","04","2","94343","48554","45789","3634","1252","40903","2022"
"26","026","1","01","2","77957","42332","35625","2028","944","32653","2022"
"44","044","5","05","2","125919","59950","65969","2766","1021","62182","2022"
"29","029","4","04","2","84023","39416","44607","1797","769","42041","2022"
"64","064","5","05","2","99411","50775","48636","2987","1196","44453","2022"
"70","070","2","02","2","89797","44611","45186","2770","1508","40908","2022"
"34","034","9","09","2","89433","49574","39859","2659","1296","35904","2022"
"94","094","6","06","2","82124","37178","44946","1329","540","43077","2022"
"48","048","1","01","2","59909","24428","35481","2184","1322","31975","2022"
"34","034","5","05","2","98965","49015","49950","4654","1611","43685","2022"
"988","988","2","02","2","122222","62991","59231","808","525","57898","2022"
"66","066","3","03","2","84997","43920","41077","4007","1403","35667","2022"
"59","059","15","15","2","97816","51821","45995","4775","1719","39501","2022"
"27","027","3","03","2","85740","43175","42565","2586","829","39150","2022"
"10","010","1","01","2","64552","32773","31779","1389","527","29863","2022"
"29","029","1","01","2","92338","42222","50116","1964","933","47219","2022"
"66","066","1","01","2","72798","40450","32348","2041","865","29442","2022"
"13","013","15","15","2","109281","57379","51902","3079","1208","47615","2022"
"19","019","1","01","2","92424","39658","52766","2815","1953","47998","2022"
"38","038","9","09","2","100653","51410","49243","2938","905","45400","2022"
"12","012","3","03","2","72518","33137","39381","2727","1585","35069","2022"
"81","081","3","03","2","104171","50203","53968","4059","2435","47474","2022"
"83","083","4","04","2","112405","61946","50459","1969","811","47679","2022"
"59","059","17","17","2","73664","42449","31215","1816","637","28762","2022"
"11","011","1","01","2","98468","48254","50214","3992","1575","44647","2022"
"55","055","2","02","2","59519","32707","26812","1480","529","24803","2022"
"95","095","6","06","2","75352","41149","34203","1388","564","32251","2022"
"69","069","7","07","2","70999","42187","28812","801","316","27695","2022"
"54","054","1","01","2","82448","43425","39023","1850","636","36537","2022"
"95","095","4","04","2","75566","39861","35705","1671","590","33444","2022"
"11","011","3","03","2","89795","40032","49763","5155","1989","42619","2022"
"62","062","9","09","2","80131","42338","37793","1956","971","34866","2022"
"33","033","5","05","2","120999","63204","57795","6492","2014","49289","2022"
"91","091","2","02","2","91963","49368","42595","4597","1188","36810","2022"
"95","095","2","02","2","78171","42767","35404","1858","751","32795","2022"
"80","080","2","02","2","77992","40967","37025","2018","820","34187","2022"
"44","044","9","09","2","129930","65589","64341","3311","1497","59533","2022"
"34","034","3","03","2","92308","45262","47046","2718","1192","43136","2022"
"63","063","3","03","2","89903","42760","47143","2522","1221","43400","2022"
"81","081","1","01","2","85129","41315","43814","5411","2378","36025","2022"
"77","077","1","01","2","71939","41345","30594","1693","641","28260","2022"
"974","974","6","06","2","82050","56043","26007","1146","973","23888","2022"
"59","059","12","12","2","93111","51849","41262","1861","751","38650","2022"
"33","033","7","07","2","79776","37521","42255","1681","801","39773","2022"
"71","071","5","05","2","88048","49722","38326","2901","1447","33978","2022"
"77","077","9","09","2","86253","50191","36062","2164","735","33163","2022"
"60","060","6","06","2","75897","40479","35418","2227","598","32593","2022"
"34","034","1","01","2","90108","49581","40527","2731","995","36801","2022"
"11","011","2","02","2","92652","48947","43705","3102","1160","39443","2022"
"95","095","1","01","2","82738","43677","39061","2486","829","35746","2022"
"32","032","1","01","2","73809","33442","40367","3051","1469","35847","2022"
"22","022","5","05","2","107732","47133","60599","2952","1454","56193","2022"
"14","014","6","06","2","96463","47906","48557","2602","1287","44668","2022"
"29","029","8","08","2","91084","43005","48079","2417","1235","44427","2022"
"57","057","8","08","2","91209","59273","31936","2370","620","28946","2022"
"60","060","3","03","2","73841","43564","30277","2640","802","26835","2022"
"22","022","1","01","2","91918","42841","49077","2185","1004","45888","2022"
"65","065","2","02","2","89776","44379","45397","3339","1747","40311","2022"
"25","025","2","02","2","79175","38775","40400","2455","1093","36852","2022"
"29","029","7","07","2","83311","37373","45938","2185","1139","42614","2022"
"35","035","7","07","2","105049","54552","50497","3748","1364","45385","2022"
"45","045","3","03","2","70881","35825","35056","2163","631","32262","2022"
"84","084","2","02","2","85845","45743","40102","2388","896","36818","2022"
"30","030","6","06","2","84553","48082","36471","2775","1261","32435","2022"
"95","095","3","03","2","94579","51190","43389","1954","793","40642","2022"
"77","077","6","06","2","81567","48243","33324","3089","692","29543","2022"
"42","042","1","01","2","64616","37113","27503","1404","702","25397","2022"
"44","044","1","01","2","77128","35737","41391","1913","372","39106","2022"
"83","083","7","07","2","105189","59483","45706","2194","644","42868","2022"
"30","030","1","01","2","89377","52361","37016","2403","840","33773","2022"
"79","079","1","01","2","90925","44656","46269","2018","952","43299","2022"
"40","040","2","02","2","123048","59675","63373","3409","1616","58348","2022"
"31","031","5","05","2","106938","55925","51013","3263","1601","46149","2022"
"25","025","1","01","2","76211","39382","36829","2229","937","33663","2022"
"69","069","1","01","2","72741","34783","37958","1234","469","36255","2022"
"33","033","6","06","2","108051","52847","55204","2307","1035","51862","2022"
"35","035","2","02","2","98271","41553","56718","1627","736","54355","2022"
"17","017","2","02","2","112184","57655","54529","3247","1312","49970","2022"
"2a","02A","1","01","2","52261","27506","24755","957","590","23208","2022"
"21","021","2","02","2","71506","37912","33594","2294","901","30399","2022"
"52","052","2","02","2","59447","31444","28003","806","357","26840","2022"
"06","006","2","02","2","89183","50126","39057","2349","782","35926","2022"
